name,ring,quadrant,status,description
Continuous Deployment,Trial,Techniques,no change,<p>Building on from a successful practice of <em>Continuous Delivery</em> we should explore an evolution towards Continuous <em>Deployment</em> where changes are automatically deployed to production without human intervention.</p><p>This should be paired with other practices such as <em>Decoupling deployment from release</em>.</p>
AWS Fargate,Adopt,Platforms,no change,"<p>AWS Fargate is the the docker-as-a-service option on AWS, is now widely available across regions. It's a great solution for situations in which teams, like ours, want to run Docker containers without having to manage EC2 instances.</p><p>It’s a particularly attractive option for migrating away from Elastic Beanstalk and promises better performance and faster deployments.</p>"
Buildkite,Trial,Platforms,moved in,<p>Buildkite is a self hosted CI/CD tool with an emphasis on simplicity and quick setup.</p><p>We’ve found the flexibility of running on our own (cloud) hardware and the level of control over the configuration of the build agents to be a significant improvement over Travis CI. The greater control offered by Buildkite allows us to more freely adapt it to our needs both as a build system and general job executor.</p>
GitHub Actions,Trial,Platforms,moved in,<p>GitHub Actions is a fully featured CI/CD platform with broad community support.</p>
Elastic Beanstalk,Hold,Platforms,no change,
Renovate,Trial,Platforms,no change,<p>Renovate is a tool for keeping dependencies up to date which supports a wide range of hosting services and programming languages.</p>
aero,Adopt,languages-and-frameworks,no change,
Cognitect AWS,Adopt,languages-and-frameworks,no change,
integrant,Adopt,languages-and-frameworks,no change,
kaocha,Adopt,languages-and-frameworks,no change,
malli,Adopt,languages-and-frameworks,no change,
Playwright,Trial,languages-and-frameworks,no change,"<p>With <strong><a href=""https://playwright.dev/"">Playwright</a></strong> you can write end-to-end tests that run in Chrome, Firefox and WebKit. By using the Chrome DevTools Protocol (CDP) Playwright can offer TRUE features and eliminate many of the issues seen with WebDriver. Chromium-based browsers implement CDP directly. To support Firefox and Webkit, though, the Playwright team has to submit patches to these browsers, which may sometimes limit the framework.</p><p>Playwright’s many features include: Built-in auto-waits, which result in tests that are more reliable and easier to understand; browser contexts, which let you test that persisting sessions across tabs work properly; and the ability to simulate notifications, geolocation and dark mode settings. Our teams are impressed with the stability Playwright brings to the test suite and like that they get feedback more quickly by running tests in parallel. Other features that set Playwright apart include better support for lazy loading and tracing. Although Playwright has some limitations — component support is currently experimental, for example — our teams consider it the go-to test framework and in some cases are migrating away from <a href=""/radar/tools/cypress"">Cypress</a> and <a href=""/radar/languages-and-frameworks/puppeteer"">Puppeteer</a>.</p>"
re-frame,Adopt,languages-and-frameworks,no change,
reitit,Adopt,languages-and-frameworks,no change,
Pedestal,Assess,languages-and-frameworks,no change,
Amazonica,Hold,languages-and-frameworks,no change,
Bedrock,Hold,languages-and-frameworks,no change,
Yada,Hold,languages-and-frameworks,no change,
OpenTelemetry,Trial,languages-and-frameworks,no change,"<p>We've been using <strong><a href=""https://opentelemetry.io/"">OpenTelemetry</a></strong> as a solution for a while now and recommended trying it in previous editions. Its ability to seamlessly capture, instrument and manage telemetry data across various services and applications has improved our observability stack. OpenTelemetry's flexibility and compatibility with diverse environments have made it a valuable addition to our toolkit. We're now particularly curious about the recent release of the <a href=""https://opentelemetry.io/docs/specs/otel/protocol/"">OpenTelemetry Protocol (OTLP)</a> specification, which includes both gRPC and HTTP. This protocol standardizes the format and transmission of telemetry data, promoting interoperability and simplifying integrations with other monitoring and analysis tools. As we continue to explore the integration potential of the protocol, we're evaluating its long-term impact on our monitoring and observability strategy and on the general monitoring landscape.</p>"
Portfolio,Trial,languages-and-frameworks,no change,"<p><a href=""https://github.com/cjohansen/portfolio"">Portfolio</a> is a “visual REPL” that aims to bring the best features of <a href=""https://github.com/storybookjs/storybook"">Storybook.js</a> to ClojureScript frontend application development.</p>"
